1,1072,0.9702989999999999,-20.0,0,-20.0
2,845,0.96059601,-21.0,0,-20.5
3,839,0.9414801494009999,-20.0,0,-20.333333333333332
4,1016,0.92274469442792,-20.0,0,-20.25
5,757,0.9043820750088043,-21.0,0,-20.4
6,759,0.8953382542587163,-21.0,0,-20.5
7,879,0.8775210229989678,-21.0,0,-20.571428571428573
8,1000,0.8600583546412883,-20.0,0,-20.5
9,795,0.8514577710948754,-21.0,0,-20.555555555555557
10,761,0.8345137614500874,-21.0,0,-20.6
11,758,0.8261686238355865,-21.0,0,-20.636363636363637
12,864,0.8097278682212583,-21.0,tensor(21.9483, device='cuda:0', grad_fn=<AddBackward0>),-20.666666666666668
13,820,0.7936142836436553,-21.0,tensor(24.3561, device='cuda:0', grad_fn=<AddBackward0>),-20.692307692307693
14,1078,0.7778213593991465,-20.0,tensor(20.2800, device='cuda:0', grad_fn=<AddBackward0>),-20.642857142857142
15,947,0.7623427143471035,-19.0,tensor(9.9963, device='cuda:0', grad_fn=<AddBackward0>),-20.533333333333335
16,773,0.7547192872036325,-21.0,tensor(5.4220, device='cuda:0', grad_fn=<AddBackward0>),-20.5625
17,892,0.7397003733882802,-20.0,tensor(5.1660, device='cuda:0', grad_fn=<AddBackward0>),-20.529411764705884
18,1031,0.7249803359578534,-20.0,tensor(6.1074, device='cuda:0', grad_fn=<AddBackward0>),-20.5
19,933,0.7105532272722921,-21.0,tensor(5.0765, device='cuda:0', grad_fn=<AddBackward0>),-20.526315789473685
20,975,0.6964132180495735,-20.0,tensor(5.5971, device='cuda:0', grad_fn=<AddBackward0>),-20.5
21,847,0.682554595010387,-21.0,tensor(5.1633, device='cuda:0', grad_fn=<AddBackward0>),-20.523809523809526
22,910,0.6689717585696803,-21.0,tensor(5.4446, device='cuda:0', grad_fn=<AddBackward0>),-20.545454545454547
23,760,0.6622820409839835,-21.0,tensor(4.0328, device='cuda:0', grad_fn=<AddBackward0>),-20.565217391304348
24,910,0.6491026283684022,-20.0,tensor(3.9129, device='cuda:0', grad_fn=<AddBackward0>),-20.541666666666668
25,805,0.6361854860638709,-21.0,tensor(3.6515, device='cuda:0', grad_fn=<AddBackward0>),-20.56
26,1070,0.6235253948912,-18.0,tensor(4.4893, device='cuda:0', grad_fn=<AddBackward0>),-20.46153846153846
27,893,0.6111172395328651,-21.0,tensor(4.0218, device='cuda:0', grad_fn=<AddBackward0>),-20.48148148148148
28,836,0.6050060671375365,-21.0,tensor(3.5853, device='cuda:0', grad_fn=<AddBackward0>),-20.5
29,1038,0.5929664464014994,-19.0,tensor(4.4590, device='cuda:0', grad_fn=<AddBackward0>),-20.448275862068964
30,942,0.5811664141181095,-21.0,tensor(3.4634, device='cuda:0', grad_fn=<AddBackward0>),-20.466666666666665
31,1058,0.5696012024771592,-21.0,tensor(4.1209, device='cuda:0', grad_fn=<AddBackward0>),-20.483870967741936
32,1145,0.5526834771623851,-21.0,tensor(4.2626, device='cuda:0', grad_fn=<AddBackward0>),-20.5
33,1060,0.5416850759668536,-20.0,tensor(6.7384, device='cuda:0', grad_fn=<AddBackward0>),-20.484848484848484
34,1117,0.5309055429551132,-21.0,tensor(7.0281, device='cuda:0', grad_fn=<AddBackward0>),-20.5
35,1727,0.5151371174238033,-17.0,tensor(11.5248, device='cuda:0', grad_fn=<AddBackward0>),-20.4
36,1473,0.4998370298991989,-19.0,tensor(11.5364, device='cuda:0', grad_fn=<AddBackward0>),-20.36111111111111
37,1605,0.4801414565714212,-20.0,tensor(11.0779, device='cuda:0', grad_fn=<AddBackward0>),-20.35135135135135
38,1299,0.47058664158564995,-19.0,tensor(9.2663, device='cuda:0', grad_fn=<AddBackward0>),-20.31578947368421
39,1143,0.4612219674180955,-20.0,tensor(7.7170, device='cuda:0', grad_fn=<AddBackward0>),-20.307692307692307
40,1741,0.44304798162617254,-17.0,tensor(9.9860, device='cuda:0', grad_fn=<AddBackward0>),-20.225
41,1973,0.42559012338865465,-16.0,tensor(11.6480, device='cuda:0', grad_fn=<AddBackward0>),-20.121951219512194
42,1748,0.41294967113388825,-18.0,tensor(11.1248, device='cuda:0', grad_fn=<AddBackward0>),-20.071428571428573
43,1685,0.39667780642202527,-19.0,tensor(10.1110, device='cuda:0', grad_fn=<AddBackward0>),-20.046511627906977
44,1614,0.3848960788934847,-18.0,tensor(10.0773, device='cuda:0', grad_fn=<AddBackward0>),-20.0
45,1618,0.37346428045426927,-18.0,tensor(10.5024, device='cuda:0', grad_fn=<AddBackward0>),-19.955555555555556
46,1251,0.36237201786049694,-21.0,tensor(8.0247, device='cuda:0', grad_fn=<AddBackward0>),-19.97826086956522
47,1491,0.3516092065580223,-18.0,tensor(9.3784, device='cuda:0', grad_fn=<AddBackward0>),-19.93617021276596
48,1466,0.34116606151404244,-21.0,tensor(8.2402, device='cuda:0', grad_fn=<AddBackward0>),-19.958333333333332
49,1860,0.33103308832101386,-17.0,tensor(9.7568, device='cuda:0', grad_fn=<AddBackward0>),-19.897959183673468
50,2009,0.3179890638191435,-18.0,tensor(10.8064, device='cuda:0', grad_fn=<AddBackward0>),-19.86
51,1654,0.30545902592830454,-18.0,tensor(9.3416, device='cuda:0', grad_fn=<AddBackward0>),-19.823529411764707
52,1821,0.2963865873992079,-17.0,tensor(10.2511, device='cuda:0', grad_fn=<AddBackward0>),-19.76923076923077
53,1835,0.2847077732731954,-16.0,tensor(10.2951, device='cuda:0', grad_fn=<AddBackward0>),-19.69811320754717
54,1679,0.2762516676992082,-18.0,tensor(9.4078, device='cuda:0', grad_fn=<AddBackward0>),-19.666666666666668
55,1684,0.2653662497477053,-15.0,tensor(10.4315, device='cuda:0', grad_fn=<AddBackward0>),-19.581818181818182
56,1735,0.2574846067639487,-21.0,tensor(10.8626, device='cuda:0', grad_fn=<AddBackward0>),-19.607142857142858
57,1580,0.24983705645845267,-19.0,tensor(9.4146, device='cuda:0', grad_fn=<AddBackward0>),-19.596491228070175
58,1563,0.24241664604458016,-17.0,tensor(9.8132, device='cuda:0', grad_fn=<AddBackward0>),-19.551724137931036
59,1634,0.232864462948006,-16.0,tensor(9.4784, device='cuda:0', grad_fn=<AddBackward0>),-19.491525423728813
60,1520,0.22594815553398728,-20.0,tensor(9.5493, device='cuda:0', grad_fn=<AddBackward0>),-19.5
61,2102,0.2170448966728076,-18.0,tensor(12.6678, device='cuda:0', grad_fn=<AddBackward0>),-19.475409836065573
62,1612,0.21059844619672854,-17.0,tensor(10.4579, device='cuda:0', grad_fn=<AddBackward0>),-19.43548387096774
63,2065,0.20230002712877712,-15.0,tensor(12.7615, device='cuda:0', grad_fn=<AddBackward0>),-19.365079365079364
64,1623,0.19432859888279505,-15.0,tensor(9.7230, device='cuda:0', grad_fn=<AddBackward0>),-19.296875
65,1889,0.18855684516737714,-15.0,tensor(11.5932, device='cuda:0', grad_fn=<AddBackward0>),-19.23076923076923
66,1673,0.18112695312597027,-17.0,tensor(9.8397, device='cuda:0', grad_fn=<AddBackward0>),-19.196969696969695
67,1858,0.17574730149117582,-15.0,tensor(10.6926, device='cuda:0', grad_fn=<AddBackward0>),-19.134328358208954
68,1572,0.16882215658069055,-20.0,tensor(10.0732, device='cuda:0', grad_fn=<AddBackward0>),-19.147058823529413
69,2101,0.16216989001100657,-12.0,tensor(11.8081, device='cuda:0', grad_fn=<AddBackward0>),-19.043478260869566
70,1894,0.15577974928671176,-17.0,tensor(10.9240, device='cuda:0', grad_fn=<AddBackward0>),-19.014285714285716
71,2023,0.14964140560361566,-16.0,tensor(11.2052, device='cuda:0', grad_fn=<AddBackward0>),-18.971830985915492
72,2086,0.14374493715362485,-15.0,tensor(10.8625, device='cuda:0', grad_fn=<AddBackward0>),-18.916666666666668
73,1914,0.13808081308747278,-17.0,tensor(10.7639, device='cuda:0', grad_fn=<AddBackward0>),-18.89041095890411
74,1965,0.13263987810938213,-16.0,tensor(10.1356, device='cuda:0', grad_fn=<AddBackward0>),-18.85135135135135
75,2273,0.12741333767875881,-13.0,tensor(11.5380, device='cuda:0', grad_fn=<AddBackward0>),-18.773333333333333
76,2288,0.1211688163570484,-14.0,tensor(11.6373, device='cuda:0', grad_fn=<AddBackward0>),-18.710526315789473
77,1734,0.11756998134242772,-17.0,tensor(9.4645, device='cuda:0', grad_fn=<AddBackward0>),-18.68831168831169
78,2248,0.1118078824235774,-10.0,tensor(11.2260, device='cuda:0', grad_fn=<AddBackward0>),-18.576923076923077
79,2188,0.1074022057426376,-11.0,tensor(10.0681, device='cuda:0', grad_fn=<AddBackward0>),-18.481012658227847
80,1780,0.10317013030157676,-17.0,tensor(8.6028, device='cuda:0', grad_fn=<AddBackward0>),-18.4625
81,2134,0.09910481551887473,-12.0,tensor(9.9965, device='cuda:0', grad_fn=<AddBackward0>),-18.382716049382715
82,1894,0.09519969035921715,-15.0,tensor(9.3770, device='cuda:0', grad_fn=<AddBackward0>),-18.341463414634145
83,2336,0.09144844271229946,-11.0,tensor(10.1017, device='cuda:0', grad_fn=<AddBackward0>),-18.253012048192772
84,2128,0.08696655909824694,-14.0,tensor(9.9197, device='cuda:0', grad_fn=<AddBackward0>),-18.202380952380953
85,1843,0.0843835653264699,-14.0,tensor(8.8626, device='cuda:0', grad_fn=<AddBackward0>),-18.152941176470588
86,2101,0.08024793100055952,-15.0,tensor(9.5494, device='cuda:0', grad_fn=<AddBackward0>),-18.11627906976744
87,1933,0.07786448720191189,-11.0,tensor(9.5844, device='cuda:0', grad_fn=<AddBackward0>),-18.03448275862069
88,1619,0.07479631572685264,-17.0,tensor(8.4479, device='cuda:0', grad_fn=<AddBackward0>),-18.022727272727273
89,1503,0.07257479035344938,-17.0,tensor(8.3153, device='cuda:0', grad_fn=<AddBackward0>),-18.01123595505618
90,1626,0.07041924650516158,-15.0,tensor(8.2131, device='cuda:0', grad_fn=<AddBackward0>),-17.977777777777778
91,2388,0.066968002747864,-11.0,tensor(11.8296, device='cuda:0', grad_fn=<AddBackward0>),-17.9010989010989
92,2459,0.06368590427489453,-8.0,tensor(12.0679, device='cuda:0', grad_fn=<AddBackward0>),-17.793478260869566
93,1666,0.06179436923202588,-18.0,tensor(8.5892, device='cuda:0', grad_fn=<AddBackward0>),-17.795698924731184
94,2568,0.058765830279503314,-6.0,tensor(11.4091, device='cuda:0', grad_fn=<AddBackward0>),-17.670212765957448
95,2278,0.05588571986991978,-13.0,tensor(11.1864, device='cuda:0', grad_fn=<AddBackward0>),-17.621052631578948
96,2324,0.05368359952302266,-11.0,tensor(11.3399, device='cuda:0', grad_fn=<AddBackward0>),-17.552083333333332
97,2244,0.051052568989210935,-9.0,tensor(10.8590, device='cuda:0', grad_fn=<AddBackward0>),-17.463917525773194
98,2349,0.04953625663766238,-12.0,tensor(11.1995, device='cuda:0', grad_fn=<AddBackward0>),-17.408163265306122
99,2729,0.04953625663766238,-7.0,tensor(12.7270, device='cuda:0', grad_fn=<AddBackward0>),-17.303030303030305
100,2340,0.04953625663766238,-11.0,tensor(11.2069, device='cuda:0', grad_fn=<AddBackward0>),-17.24
101,2729,0.04953625663766238,-6.0,tensor(11.8235, device='cuda:0', grad_fn=<AddBackward0>),-17.1
102,1970,0.04953625663766238,-14.0,tensor(9.6533, device='cuda:0', grad_fn=<AddBackward0>),-17.03
103,1572,0.04953625663766238,-16.0,tensor(8.1347, device='cuda:0', grad_fn=<AddBackward0>),-16.99
104,1970,0.04953625663766238,-13.0,tensor(9.8439, device='cuda:0', grad_fn=<AddBackward0>),-16.92
105,2649,0.04953625663766238,-6.0,tensor(11.5323, device='cuda:0', grad_fn=<AddBackward0>),-16.77
106,2515,0.04953625663766238,-9.0,tensor(12.5340, device='cuda:0', grad_fn=<AddBackward0>),-16.65
107,1895,0.04953625663766238,-15.0,tensor(10.3451, device='cuda:0', grad_fn=<AddBackward0>),-16.59
108,2873,0.04953625663766238,-8.0,tensor(12.0801, device='cuda:0', grad_fn=<AddBackward0>),-16.47
109,2323,0.04953625663766238,-13.0,tensor(10.8290, device='cuda:0', grad_fn=<AddBackward0>),-16.39
110,2245,0.04953625663766238,-14.0,tensor(10.5537, device='cuda:0', grad_fn=<AddBackward0>),-16.32
111,1954,0.04953625663766238,-15.0,tensor(10.2806, device='cuda:0', grad_fn=<AddBackward0>),-16.26
112,2121,0.04953625663766238,-14.0,tensor(10.5465, device='cuda:0', grad_fn=<AddBackward0>),-16.19
113,2969,0.04953625663766238,-6.0,tensor(13.4809, device='cuda:0', grad_fn=<AddBackward0>),-16.04
114,1817,0.04953625663766238,-14.0,tensor(9.4048, device='cuda:0', grad_fn=<AddBackward0>),-15.98
115,1777,0.04953625663766238,-13.0,tensor(8.9143, device='cuda:0', grad_fn=<AddBackward0>),-15.92
116,1960,0.04953625663766238,-16.0,tensor(9.7864, device='cuda:0', grad_fn=<AddBackward0>),-15.87
117,2408,0.04953625663766238,-9.0,tensor(11.3930, device='cuda:0', grad_fn=<AddBackward0>),-15.76
118,2144,0.04953625663766238,-12.0,tensor(10.6234, device='cuda:0', grad_fn=<AddBackward0>),-15.68
119,2512,0.04953625663766238,-7.0,tensor(11.6174, device='cuda:0', grad_fn=<AddBackward0>),-15.54
120,2624,0.04953625663766238,-10.0,tensor(11.8964, device='cuda:0', grad_fn=<AddBackward0>),-15.44
121,3061,0.04953625663766238,-3.0,tensor(13.1149, device='cuda:0', grad_fn=<AddBackward0>),-15.26
122,2625,0.04953625663766238,-7.0,tensor(11.9894, device='cuda:0', grad_fn=<AddBackward0>),-15.12
123,2701,0.04953625663766238,-8.0,tensor(12.3943, device='cuda:0', grad_fn=<AddBackward0>),-14.99
124,2041,0.04953625663766238,-11.0,tensor(9.8269, device='cuda:0', grad_fn=<AddBackward0>),-14.9
