1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
11,958,0.8016305895390458,-19.0,tensor(0.5704, device='cuda:0', grad_fn=<AddBackward0>),-20.09090909090909
12,839,0.7856781408072188,-21.0,tensor(0.4704, device='cuda:0', grad_fn=<AddBackward0>),-20.166666666666668
13,1067,0.7700431458051551,-19.0,tensor(0.6785, device='cuda:0', grad_fn=<AddBackward0>),-20.076923076923077
14,1047,0.7547192872036325,-19.0,tensor(0.8878, device='cuda:0', grad_fn=<AddBackward0>),-20.0
15,1081,0.7397003733882802,-20.0,tensor(1.2126, device='cuda:0', grad_fn=<AddBackward0>),-20.0
16,1122,0.7249803359578534,-19.0,tensor(1.6230, device='cuda:0', grad_fn=<AddBackward0>),-19.9375
17,1442,0.7034476949995692,-18.0,tensor(1.7916, device='cuda:0', grad_fn=<AddBackward0>),-19.823529411764707
18,967,0.6894490858690777,-20.0,tensor(1.5744, device='cuda:0', grad_fn=<AddBackward0>),-19.833333333333332
19,964,0.6757290490602831,-21.0,tensor(1.5882, device='cuda:0', grad_fn=<AddBackward0>),-19.894736842105264
20,1284,0.6556592205741436,-18.0,tensor(2.0209, device='cuda:0', grad_fn=<AddBackward0>),-19.8
21,1272,0.6426116020847181,-18.0,tensor(2.5682, device='cuda:0', grad_fn=<AddBackward0>),-19.714285714285715
22,1238,0.6235253948912,-20.0,tensor(2.5358, device='cuda:0', grad_fn=<AddBackward0>),-19.727272727272727
23,1256,0.6111172395328651,-18.0,tensor(2.4073, device='cuda:0', grad_fn=<AddBackward0>),-19.652173913043477
24,1390,0.5929664464014994,-17.0,tensor(3.1675, device='cuda:0', grad_fn=<AddBackward0>),-19.541666666666668
25,1227,0.5811664141181095,-18.0,tensor(3.1066, device='cuda:0', grad_fn=<AddBackward0>),-19.48
26,1230,0.5639051904523876,-19.0,tensor(3.4276, device='cuda:0', grad_fn=<AddBackward0>),-19.46153846153846
27,1491,0.5471566423907612,-19.0,tensor(4.4942, device='cuda:0', grad_fn=<AddBackward0>),-19.444444444444443
28,1375,0.536268225207185,-19.0,tensor(4.1647, device='cuda:0', grad_fn=<AddBackward0>),-19.428571428571427
29,1399,0.5203405226503064,-17.0,tensor(4.9604, device='cuda:0', grad_fn=<AddBackward0>),-19.344827586206897
30,1341,0.5048858887870696,-19.0,tensor(5.2323, device='cuda:0', grad_fn=<AddBackward0>),-19.333333333333332
31,1530,0.4898902730042049,-20.0,tensor(5.4212, device='cuda:0', grad_fn=<AddBackward0>),-19.35483870967742
32,1513,0.475340042005707,-17.0,tensor(5.5450, device='cuda:0', grad_fn=<AddBackward0>),-19.28125
33,1755,0.45660974774391455,-19.0,tensor(6.2802, device='cuda:0', grad_fn=<AddBackward0>),-19.272727272727273
34,1191,0.44752321376381066,-19.0,tensor(5.1538, device='cuda:0', grad_fn=<AddBackward0>),-19.264705882352942
35,1248,0.4386175018099108,-20.0,tensor(5.4848, device='cuda:0', grad_fn=<AddBackward0>),-19.285714285714285
36,1254,0.42559012338865465,-17.0,tensor(5.7492, device='cuda:0', grad_fn=<AddBackward0>),-19.22222222222222
37,1331,0.41294967113388825,-18.0,tensor(6.2001, device='cuda:0', grad_fn=<AddBackward0>),-19.18918918918919
38,1435,0.40068465295154065,-20.0,tensor(7.5628, device='cuda:0', grad_fn=<AddBackward0>),-19.210526315789473
39,1430,0.392711028357805,-16.0,tensor(7.7090, device='cuda:0', grad_fn=<AddBackward0>),-19.128205128205128
40,1217,0.38104711810454983,-19.0,tensor(7.7442, device='cuda:0', grad_fn=<AddBackward0>),-19.125
41,1799,0.36972963764972655,-17.0,tensor(10.6122, device='cuda:0', grad_fn=<AddBackward0>),-19.073170731707318
42,1542,0.358748297681892,-18.0,tensor(8.9211, device='cuda:0', grad_fn=<AddBackward0>),-19.047619047619047
43,1751,0.34461218334751764,-14.0,tensor(9.3599, device='cuda:0', grad_fn=<AddBackward0>),-18.930232558139537
44,1607,0.334376856889913,-17.0,tensor(9.4397, device='cuda:0', grad_fn=<AddBackward0>),-18.886363636363637
45,1498,0.3244455298634257,-19.0,tensor(9.3665, device='cuda:0', grad_fn=<AddBackward0>),-18.88888888888889
46,1581,0.31480917318095203,-18.0,tensor(10.3033, device='cuda:0', grad_fn=<AddBackward0>),-18.869565217391305
47,1486,0.30545902592830454,-17.0,tensor(9.6864, device='cuda:0', grad_fn=<AddBackward0>),-18.829787234042552
48,1795,0.29342272152521587,-15.0,tensor(12.2293, device='cuda:0', grad_fn=<AddBackward0>),-18.75
49,1762,0.2847077732731954,-14.0,tensor(12.1673, device='cuda:0', grad_fn=<AddBackward0>),-18.653061224489797
50,1223,0.2762516676992082,-19.0,tensor(8.1983, device='cuda:0', grad_fn=<AddBackward0>),-18.66
51,1569,0.26804671691687404,-17.0,tensor(10.1845, device='cuda:0', grad_fn=<AddBackward0>),-18.627450980392158
52,1968,0.2574846067639487,-14.0,tensor(12.4291, device='cuda:0', grad_fn=<AddBackward0>),-18.53846153846154
53,1589,0.24983705645845267,-16.0,tensor(9.8096, device='cuda:0', grad_fn=<AddBackward0>),-18.49056603773585
54,1487,0.24241664604458016,-20.0,tensor(9.5060, device='cuda:0', grad_fn=<AddBackward0>),-18.51851851851852
